	3D Point 117:LA			3D Point 117:RA		
Frame	x	y	z	x	y	z
91	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
92	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
93	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
94	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
95	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
96	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
97	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
98	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
99	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
100	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
101	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
102	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
103	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
104	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
105	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
106	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
107	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
108	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
109	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
110	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
111	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
112	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
113	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
114	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
115	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
116	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
117	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
118	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
119	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
120	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
121	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
122	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
123	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
124	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
125	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
126	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
127	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
128	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
129	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
130	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
131	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
132	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
133	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
134	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
135	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
136	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
137	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
138	3000,000000	0,000000	-3000,000000	3000,000000	0,000000	-3000,000000
