	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
15	3,981603	158,040894	30,848795	23,051852	136,218762	33,465897	30,334222	103,350159	37,528049	25,465474	80,315228	46,543683	-17,073082	137,741577	31,069077	-26,094769	103,342664	31,338699	-21,583197	80,923383	43,332108	11,036557	91,603125	34,101251	-6,393364	91,094739	32,855646	14,260049	38,224344	38,352652	9,553204	-3,799055	30,159790	-15,355165	41,133139	51,569727	-10,842786	7,252897	25,372202
16	3,908672	158,057507	32,632230	23,012073	136,341089	35,242877	30,310495	103,541968	39,921323	25,211569	80,694336	49,299115	-17,099373	137,670239	32,538467	-26,062631	103,255652	32,513867	-21,769107	80,846472	44,643561	11,005829	91,594208	35,719263	-6,412329	91,128650	34,526953	14,325508	38,184103	38,671176	9,579945	-3,770514	30,157373	-15,223347	41,588376	54,264313	-10,743799	5,644875	30,730930
17	3,813355	158,031653	34,468762	22,965996	136,405005	37,048401	30,283923	103,689490	42,268097	24,929083	81,040918	52,013690	-17,131615	137,534656	34,013571	-26,051724	103,123743	33,734427	-21,984402	80,734052	45,990231	10,935166	91,552063	37,378519	-6,470090	91,132001	36,234473	14,370335	38,125150	39,036649	9,537818	-3,741791	30,187012	-15,065329	41,902386	56,768359	-10,707716	3,997275	36,256894
18	3,696100	157,941333	36,287473	22,914090	136,410388	38,841840	30,237814	103,762756	44,592786	24,633369	81,347766	54,719110	-17,168924	137,375110	35,510251	-26,057968	102,962659	35,034158	-22,165736	80,594153	47,382355	10,841959	91,477313	39,077737	-6,536736	91,060797	37,936337	14,413002	38,020181	39,312604	9,519250	-3,690327	30,199774	-14,894560	42,072348	59,023804	-10,686555	2,339167	41,994708
19	3,562542	157,803333	38,079510	22,843327	136,361292	40,649200	30,204721	103,804443	46,881509	24,324666	81,624347	57,386652	-17,212318	137,177026	37,016226	-26,073648	102,776917	36,400967	-22,321512	80,404816	48,797607	10,764699	91,316168	40,756635	-6,607227	90,947607	39,645279	14,397601	38,065387	39,936716	9,496137	-3,647748	30,232318	-14,700926	42,069897	61,059766	-10,714689	0,816260	47,787347
20	3,415364	157,612268	39,870178	22,763586	136,252734	42,482397	30,144516	103,774072	49,121198	23,920192	81,899426	60,081860	-17,275945	136,943005	38,565698	-26,093878	102,546655	37,805844	-22,451472	80,176361	50,269363	10,660939	91,109192	42,444308	-6,700828	90,781421	41,374646	14,415071	37,917538	40,309119	9,485916	-3,590808	30,247787	-14,467085	41,889243	62,882574	-10,850722	-0,501815	53,668262
21	3,240376	157,381909	41,694083	22,654749	136,104443	44,363120	30,077542	103,690381	51,360706	23,613835	82,067657	62,654822	-17,334070	136,680713	40,148221	-26,124982	102,285309	39,298920	-22,578142	79,893646	51,747345	10,551038	90,859241	44,133807	-6,812310	90,553357	43,134930	14,417804	37,837418	40,882458	9,459764	-3,537442	30,271094	-14,224811	41,560779	64,487317	-10,945446	-1,518311	59,555634
22	3,061123	157,115503	43,511215	22,544560	135,900879	46,187830	29,991376	103,552100	53,536945	23,261549	82,167041	65,162335	-17,417427	136,388477	41,764777	-26,172592	101,991345	40,876584	-22,696886	79,550446	53,247974	10,432734	90,590802	45,876788	-6,948038	90,294916	44,947266	14,423608	37,778058	41,536447	9,397515	-3,474437	30,316193	-13,941144	41,122702	65,958984	-11,108007	-2,156514	65,382721
23	2,869065	156,830750	45,330411	22,427995	135,629419	48,037079	29,884836	103,355151	55,687128	22,954182	82,171002	67,576215	-17,530728	136,062610	43,439023	-26,210489	101,656482	42,497672	-22,828525	79,137903	54,757422	10,305488	90,313690	47,580930	-7,068710	89,994086	46,765045	14,424962	37,691599	42,252136	9,347357	-3,379303	30,343478	-13,744487	40,575412	67,405200	-11,217516	-2,369987	71,025116
24	2,659001	156,537817	47,158585	22,303578	135,322473	49,862717	29,753601	103,115967	57,827521	22,612190	82,132697	69,952179	-17,666618	135,716675	45,178198	-26,269269	101,297699	44,206494	-22,968771	78,686115	56,296179	10,187288	90,032147	49,333472	-7,188480	89,679559	48,612357	14,399091	37,606039	43,115671	9,269193	-3,254089	30,414709	-13,637285	40,083456	68,885291	-11,233305	-2,245036	76,283020
