	3D Point Head  			3D Point 117:LS			3D Point 117:LE			3D Point LWRIST			3D Point 117:RS			3D Point 117:RE			3D Point RWRIST			3D Point LHIP  			3D Point RHIP  			3D Point 117:LK			3D Point 117:LA			3D Point 117:RK			3D Point 117:RA		
Frame	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z	x	y	z
15	3,665813	158,983398	30,385681	22,716315	136,850012	32,648712	29,954779	103,843860	34,893652	25,690759	80,310681	42,939163	-17,442735	138,890991	31,390219	-26,608932	104,537146	32,269025	-21,605054	81,980249	43,739893	10,601802	92,598547	33,439038	-6,851047	91,975476	32,165884	13,665031	39,371533	40,500006	9,137425	-2,698031	32,694193	-16,046147	40,599619	46,963351	-11,614342	11,897643	15,560300
16	3,648862	159,096155	32,194659	22,687201	137,090759	34,510938	29,957648	104,101831	37,326852	25,479344	80,735590	45,667130	-17,439528	138,934387	32,860242	-26,561838	104,566699	33,373169	-21,710274	82,003949	44,907730	10,635175	92,681433	35,075146	-6,809713	92,110162	33,848169	13,755995	39,368387	40,832678	9,123491	-2,674822	32,695642	-15,890274	41,249734	50,185852	-11,484930	10,703370	20,437790
17	3,617634	159,174402	33,987897	22,667542	137,283423	36,325879	29,965137	104,345496	39,754346	25,262161	81,125775	48,404514	-17,454608	138,926868	34,328415	-26,505811	104,527002	34,493890	-21,866791	81,975714	46,122357	10,666562	92,711859	36,696716	-6,786274	92,201373	35,517932	13,833943	39,373221	41,176447	9,156863	-2,649887	32,681699	-15,723798	41,839810	53,212793	-11,352146	9,231018	25,543895
18	3,561458	159,196228	35,795447	22,645532	137,404980	38,130911	29,958395	104,526550	42,156198	25,032326	81,491357	51,140445	-17,470273	138,850989	35,791150	-26,465927	104,443457	35,629282	-22,023247	81,928961	47,478046	10,647964	92,710925	38,322144	-6,798841	92,244275	37,195953	13,937012	39,238727	41,333685	9,157912	-2,624504	32,691229	-15,562962	42,319299	56,041034	-11,211844	7,651805	30,761572
19	3,480674	159,175305	37,609457	22,622266	137,473206	39,895917	29,944153	104,665662	44,534656	24,773759	81,837274	53,887305	-17,495251	138,744971	37,267786	-26,447662	104,332605	36,835422	-22,216327	81,817212	48,793573	10,603069	92,673438	39,934305	-6,823956	92,253412	38,884256	13,973593	39,267398	41,794714	9,151634	-2,591583	32,706696	-15,415390	42,680566	58,627295	-11,141776	5,977329	36,190948
20	3,386985	159,097290	39,401077	22,588028	137,491504	41,686038	29,921393	104,749622	46,875168	24,498543	82,146051	56,611908	-17,537045	138,579175	38,754034	-26,437521	104,181726	38,120636	-22,396896	81,674402	50,159152	10,523257	92,618518	41,661548	-6,861100	92,197650	40,575662	14,021402	39,144620	42,028412	9,105910	-2,552814	32,734525	-15,255371	42,907559	61,016205	-11,029255	4,234373	41,805222
21	3,270526	158,970276	41,216711	22,531621	137,457910	43,487271	29,895825	104,806689	49,181564	24,206386	82,413336	59,304456	-17,560390	138,385120	40,239069	-26,434106	103,982178	39,421304	-22,554118	81,498096	51,575525	10,446615	92,481860	43,317236	-6,937457	92,109412	42,297592	14,041878	39,121201	42,528568	9,084437	-2,505042	32,752832	-15,054807	42,981693	63,163525	-11,028992	2,600177	47,566180
22	3,135627	158,788782	43,038815	22,466740	137,369470	45,324112	29,863409	104,788281	51,440466	23,830650	82,685278	62,024438	-17,599013	138,147864	41,767926	-26,452417	103,759973	40,798026	-22,694908	81,280835	53,017548	10,369123	92,276007	44,995337	-7,008829	91,930487	44,012054	14,049585	39,042651	42,995712	9,058044	-2,461238	32,780978	-14,831700	42,870755	65,084265	-11,077309	1,085407	53,436481
23	2,992684	158,565845	44,844772	22,384808	137,226221	47,177600	29,803156	104,715125	53,659607	23,536490	82,855707	64,622034	-17,642802	137,883142	43,319534	-26,476685	103,499329	42,252112	-22,798523	81,003455	54,476178	10,270860	92,029413	46,707904	-7,101490	91,719360	45,757178	14,055173	38,929041	43,466522	9,049176	-2,401834	32,798248	-14,583824	42,606146	66,802301	-11,169112	-0,134170	59,268512
24	2,825979	158,298254	46,655466	22,286539	137,023706	49,012387	29,748523	104,582251	55,851257	23,204008	82,978668	67,174847	-17,713049	137,597363	44,921039	-26,499133	103,207117	43,779630	-22,928014	80,684363	55,982324	10,167828	91,761389	48,401303	-7,210738	91,454272	47,532980	14,066779	38,851270	44,065247	8,993464	-2,350281	32,847137	-14,314342	42,195908	68,332495	-11,273750	-1,013588	65,150024
